epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9873,1.29167,4.60159,1.50001,0.00665,0.64,0.16022,0.1106,nan,nan,nan,0.000364547,0.000364547,0.000364547
2,26.2066,1.1614,4.34286,1.3628,0.78017,0.03333,0.07608,0.04609,nan,nan,nan,0.000722755,0.000722755,0.000722755
3,38.1839,1.28597,4.50191,1.39244,0.78261,0.03333,0.07976,0.0379,nan,nan,nan,0.00106874,0.00106874,0.00106874
4,50.1974,1.23769,4.45849,1.4381,0.30842,0.19636,0.13003,0.07947,nan,nan,nan,0.00105601,0.00105601,0.00105601
5,62.2628,1.34215,4.3174,1.54042,0.15267,0.21381,0.11574,0.06018,nan,nan,nan,0.00103767,0.00103767,0.00103767
6,74.3653,1.32073,4.18141,1.55206,0.24603,0.13333,0.07217,0.03596,nan,nan,nan,0.00101934,0.00101934,0.00101934
7,86.3389,1.31642,4.54435,1.44773,0.27632,0.12667,0.05757,0.02706,nan,nan,nan,0.00100101,0.00100101,0.00100101
8,98.3072,1.29072,3.92315,1.48703,0.23715,0.18667,0.06542,0.02963,nan,nan,nan,0.000982679,0.000982679,0.000982679
9,110.376,1.39199,3.72448,1.58985,0.23259,0.13333,0.0559,0.02991,nan,nan,nan,0.000964348,0.000964348,0.000964348
10,122.517,1.35304,3.54946,1.57929,0.31647,0.1,0.10489,0.05522,nan,nan,nan,0.000946016,0.000946016,0.000946016
11,134.742,1.36747,3.53519,1.55354,0.25594,0.09503,0.06081,0.03508,nan,nan,nan,0.000927685,0.000927685,0.000927685
12,146.935,1.17283,3.64586,1.39502,0.22099,0.42667,0.04208,0.02107,nan,nan,nan,0.000909353,0.000909353,0.000909353
13,159.019,1.2001,3.26733,1.42722,0.22511,0.29333,0.04682,0.02446,nan,nan,nan,0.000891022,0.000891022,0.000891022
14,171.101,1.20358,3.47271,1.47079,0.26327,0.36,0.09166,0.0369,nan,nan,nan,0.000872691,0.000872691,0.000872691
15,183.374,1.18022,3.36674,1.35036,0.25348,0.22,0.0921,0.0298,nan,nan,nan,0.000854359,0.000854359,0.000854359
16,195.609,1.22021,3.40058,1.41439,0.04003,0.26667,0.05338,0.01961,nan,nan,nan,0.000836027,0.000836027,0.000836027
17,207.822,1.18899,3.08028,1.43168,0.09543,0.3619,0.07677,0.03955,nan,nan,nan,0.000817696,0.000817696,0.000817696
18,220.102,1.17706,3.19671,1.40975,0.06686,0.41524,0.08288,0.04529,nan,nan,nan,0.000799365,0.000799365,0.000799365
19,232.339,1.16162,3.15353,1.40375,0.13989,0.52571,0.12828,0.06204,nan,nan,nan,0.000781033,0.000781033,0.000781033
20,244.529,1.18557,3.22763,1.39528,0.11573,0.52128,0.13767,0.0551,nan,nan,nan,0.000762702,0.000762702,0.000762702
21,257.029,1.12758,2.99765,1.36363,0.27753,0.23333,0.18592,0.11663,nan,nan,nan,0.00074437,0.00074437,0.00074437
22,269.84,1.0179,3.36719,1.25553,0.11379,0.27392,0.16011,0.07288,nan,nan,nan,0.000726038,0.000726038,0.000726038
23,282.219,1.10675,3.31459,1.34993,0.16399,0.32857,0.21981,0.11433,nan,nan,nan,0.000707707,0.000707707,0.000707707
24,294.372,1.06586,2.97897,1.36216,0.32861,0.25333,0.19222,0.10412,nan,nan,nan,0.000689376,0.000689376,0.000689376
25,306.842,1.01549,3.06677,1.295,0.29033,0.30667,0.14123,0.0828,nan,nan,nan,0.000671044,0.000671044,0.000671044
26,318.955,1.05324,2.88304,1.28385,0.30574,0.24,0.13866,0.07627,nan,nan,nan,0.000652712,0.000652712,0.000652712
27,331.29,1.05291,2.55048,1.315,0.09766,0.28667,0.1329,0.07444,nan,nan,nan,0.000634381,0.000634381,0.000634381
28,343.605,0.95941,2.84413,1.27703,0.10589,0.34857,0.10505,0.0549,nan,nan,nan,0.000616049,0.000616049,0.000616049
29,355.828,0.98369,2.8054,1.25904,0.08148,0.47714,0.09496,0.04365,nan,nan,nan,0.000597718,0.000597718,0.000597718
30,367.926,0.94762,2.65511,1.2095,0.07391,0.45905,0.10201,0.05141,nan,nan,nan,0.000579386,0.000579386,0.000579386
31,380.206,1.03585,2.89956,1.26344,0.08275,0.33168,0.13593,0.06525,nan,nan,nan,0.000561055,0.000561055,0.000561055
32,392.574,1.00521,2.42621,1.24119,0.16775,0.29696,0.19718,0.10212,nan,nan,nan,0.000542723,0.000542723,0.000542723
33,404.942,0.98459,2.49732,1.27536,0.13517,0.47183,0.2082,0.11889,nan,nan,nan,0.000524392,0.000524392,0.000524392
34,417.338,0.96288,2.38946,1.27566,0.16226,0.40294,0.20627,0.13046,nan,nan,nan,0.00050606,0.00050606,0.00050606
35,429.66,0.92059,2.24691,1.23163,0.18159,0.46286,0.19302,0.11236,nan,nan,nan,0.000487729,0.000487729,0.000487729
36,442.058,0.97124,2.42686,1.24737,0.143,0.45904,0.16378,0.09403,nan,nan,nan,0.000469397,0.000469397,0.000469397
37,454.39,0.93224,2.3196,1.21723,0.15161,0.40571,0.17875,0.09476,nan,nan,nan,0.000451066,0.000451066,0.000451066
38,466.727,0.92382,2.21751,1.20366,0.1764,0.4413,0.18845,0.09707,nan,nan,nan,0.000432734,0.000432734,0.000432734
39,478.894,0.87349,2.42983,1.15318,0.17037,0.47566,0.21108,0.11465,nan,nan,nan,0.000414403,0.000414403,0.000414403
40,491.042,0.84435,2.64332,1.17811,0.26386,0.44862,0.27178,0.13298,nan,nan,nan,0.000396071,0.000396071,0.000396071
41,503.417,0.8938,2.25101,1.28351,0.2374,0.49619,0.25288,0.14543,nan,nan,nan,0.00037774,0.00037774,0.00037774
42,515.707,0.84118,2.13304,1.19588,0.22541,0.46286,0.26408,0.1701,nan,nan,nan,0.000359409,0.000359409,0.000359409
43,527.938,0.81571,2.74142,1.12242,0.19336,0.49619,0.26994,0.18943,nan,nan,nan,0.000341077,0.000341077,0.000341077
44,540.304,0.87538,2.13731,1.20001,0.18011,0.51535,0.28783,0.20885,nan,nan,nan,0.000322745,0.000322745,0.000322745
45,552.7,0.85417,2.23966,1.19328,0.20101,0.55175,0.2673,0.2111,nan,nan,nan,0.000304414,0.000304414,0.000304414
46,565.11,0.92133,2.26861,1.2385,0.23268,0.54929,0.28924,0.20297,nan,nan,nan,0.000286083,0.000286083,0.000286083
47,577.365,0.74551,2.17358,1.09441,0.25492,0.38571,0.28368,0.222,nan,nan,nan,0.000267751,0.000267751,0.000267751
48,589.754,0.85873,2.02476,1.1715,0.23481,0.46443,0.32214,0.23982,nan,nan,nan,0.00024942,0.00024942,0.00024942
49,602.036,0.85873,2.30269,1.17058,0.18529,0.49619,0.27641,0.20153,nan,nan,nan,0.000231088,0.000231088,0.000231088
50,614.396,0.76621,1.94747,1.13414,0.19785,0.42952,0.23928,0.17506,nan,nan,nan,0.000212757,0.000212757,0.000212757
51,635.137,0.68136,1.79369,1.09748,0.16804,0.59143,0.2837,0.20506,nan,nan,nan,0.000194425,0.000194425,0.000194425
52,647.564,0.71554,1.87021,1.13131,0.22062,0.56286,0.29947,0.23107,nan,nan,nan,0.000176094,0.000176094,0.000176094
53,659.903,0.70237,1.84978,1.09469,0.22756,0.47885,0.28907,0.22252,nan,nan,nan,0.000157762,0.000157762,0.000157762
