epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0318,1.25406,4.64555,1.58472,0.00847,0.65905,0.12548,0.08787,nan,nan,nan,0.00036519,0.00036519,0.00036519
2,30.4195,1.20295,4.27951,1.39477,0.00352,0.85143,0.08947,0.06061,nan,nan,nan,0.000730322,0.000730322,0.000730322
3,43.7443,1.24937,4.45845,1.43399,0.12348,0.06469,0.08971,0.05137,nan,nan,nan,0.00109022,0.00109022,0.00109022
4,56.9439,1.29622,4.34562,1.51712,0.09162,0.33381,0.13207,0.06014,nan,nan,nan,0.00108743,0.00108743,0.00108743
5,70.2525,1.36862,4.26484,1.54109,0.14558,0.3404,0.16811,0.08134,nan,nan,nan,0.00107957,0.00107957,0.00107957
6,83.5092,1.35634,3.80064,1.53661,0.26253,0.30675,0.11965,0.07952,nan,nan,nan,0.00107172,0.00107172,0.00107172
7,96.8956,1.3424,3.81884,1.53884,0.07933,0.21675,0.08876,0.05134,nan,nan,nan,0.00106386,0.00106386,0.00106386
8,110.309,1.44851,4.04011,1.59927,0.31167,0.21738,0.14321,0.08562,nan,nan,nan,0.00105601,0.00105601,0.00105601
9,123.721,1.43617,3.75626,1.58854,0.42734,0.26381,0.18701,0.10292,nan,nan,nan,0.00104815,0.00104815,0.00104815
10,137.077,1.33144,3.43949,1.527,0.3482,0.19794,0.12296,0.07134,nan,nan,nan,0.00104029,0.00104029,0.00104029
11,150.562,1.36445,3.55207,1.54468,0.09277,0.2773,0.11701,0.08543,nan,nan,nan,0.00103244,0.00103244,0.00103244
12,163.98,1.31218,3.41138,1.51004,0.08889,0.4005,0.11036,0.05712,nan,nan,nan,0.00102458,0.00102458,0.00102458
13,177.446,1.25636,3.48015,1.44878,0.09968,0.28151,0.11871,0.07128,nan,nan,nan,0.00101672,0.00101672,0.00101672
14,190.86,1.25973,3.27453,1.4625,0.3076,0.18286,0.14381,0.08911,nan,nan,nan,0.00100887,0.00100887,0.00100887
15,204.311,1.19615,3.26328,1.46966,0.08244,0.39493,0.15,0.09174,nan,nan,nan,0.00100101,0.00100101,0.00100101
16,217.731,1.29237,3.17238,1.54217,0.14488,0.29713,0.12222,0.06508,nan,nan,nan,0.000993155,0.000993155,0.000993155
17,231.205,1.30802,3.13053,1.5518,0.06429,0.22625,0.09393,0.05747,nan,nan,nan,0.000985298,0.000985298,0.000985298
18,244.809,1.30039,3.36215,1.50695,0.10852,0.14714,0.1304,0.06414,nan,nan,nan,0.000977442,0.000977442,0.000977442
19,258.302,1.23819,3.06572,1.51435,0.17495,0.20071,0.17028,0.08803,nan,nan,nan,0.000969586,0.000969586,0.000969586
20,272.251,1.22516,3.09425,1.50193,0.10477,0.19286,0.13806,0.08662,nan,nan,nan,0.000961729,0.000961729,0.000961729
21,285.685,1.21229,2.96854,1.47297,0.08954,0.19286,0.16077,0.09954,nan,nan,nan,0.000953873,0.000953873,0.000953873
